COMMENTS,SITE_NAME,BAND,LAT,LONG,SECTOR,Marker 
The final effluent discharge from the site is in breach of its licence conditions.,"Gailes Sports & Leisure Ltd, Shewalton",Poor,55.5935739,-4.657922,Sewage (Private),1
There is no provision of an influent flow meter or event recorder on the Combined Sewer Overflow as required. ,"Biggar STW, Biggar, Lanarkshire",Poor,55.6159124,-3.5112207,Sewage (Public),1
The final effluent discharge at the site is in breach of its licence conditions.,"The Canny Man, 1 Beith Rd, Lugton, Ayrshire",Poor,55.7441063,-4.5299701,Sewage (Private),1
The final effluent discharge from the site is in breach of its licence conditions.,"The Loch House, Largs Road, Lochwinnoch",Poor,55.7861485,-4.6124852,Sewage (Private),1
-,Furnace Hatchery Main Discharge,Poor,56.1514606,-5.1793217,Fish farming,1
A significant pollution incident occurred in 2014 when mine water was discharged at a time of low flow in the Water of Girvan which resulted in discolouration of the river for a considerable distance downtream. Subsequent investigation revealed that the automatic discharge control system was in a state of disrepair and non functional. Discussion has been held with the Coal Authority regarding the refurbishment of the discharge control system. ,Dalquharran Mine Treatment Schem & Dowhail Co,Poor,55.2833807,-4.7251987,Other Effluent,1
"There is no provision of an influent flow meter or event recorder on the Settled Storm Sewage Overflow as per required.
Total Iron failure (Annual mean concentration) in 2014.","Maudslie STW, Rosebank, Carluke, S. L/shire",Poor,55.730949,-3.9005831,Sewage (Public),1
The final effluent discharge from the site in March was in breach of its licence conditions.,Skares Road Opencast Coal Site,Poor,55.4222255,-4.3473539,Other Effluent,1
The final effluent discharge from the site is in breach of its licence conditions.,Heads of Ayr Caravan Park,Poor,55.4258312,-4.7117698,Sewage (Private),1
-,"Turnberry Holiday Park, Girvan",Poor,55.2920885,-4.8247162,Sewage (Private),1
Site is did not achieve the discharge standards required by the water use licence for 2014. However the site are working with SEPA and have undertaken maitenance and repair of the treatment plant to address these issues. ,INVERBEG CARAVAN PARK,Poor,56.1469008,-4.6629854,Sewage (Private),1
Site is did not acheive the discharge standards required by the water use licence for 2014. However the site are working with SEPA and have undertaken maintenance and repair of the treatment plant.,Ross Priory,Poor,56.0545477,-4.5474299,Sewage (Private),1
"Site is currently not achieving the discharge standards required by the water use licence. However the site are working with SEPA and have prepared an improvement plan to address these issues. 
Significant investment planned by the operator. ","Charcon Hard Landscaping, Chryston, Glasgow",Poor,55.9150511,-4.099552,Other Effluent,1
"Unsatisfactory benthic survey reported during 2014.
","Poll na Gille MCFF, Shuna",Poor,56.2123329,-5.5912334,Fish farming,1
"Site location in variance to authorisation detail and monitoring not to required standard.
","Inch Kenneth MCFF, Loch na Keal",Poor,56.4493179,-6.1369923,Fish farming,1
Exceedence of numeric effluent limits. Action plan implemented to address non-compliance.,"Moleigh Landfill Site, Oban",Poor,56.3853582,-5.4541642,Other Effluent,1
The site has been assessed as Poor for 2014 as a result of upper teir breaches of the Ammonia discharge consent standard. ,"Linwood Moss L/F, Moss Rd, Linwood, Paisley",Poor,55.8608143,-4.4915933,Other Effluent,1
Site is did not achieve the discharge standards required by the licence for 2014. ,"Loch Lomond Homes and Garden Centre, Balloch",Poor,56.0178009,-4.5613791,Sewage (Private),1
-,"Shieldhill Castle Hotel, Quothquan, Biggar",Poor,55.6469215,-3.5801055,Sewage (Private),1
Two samples taken of the final effluent during 2014 exceeded lower tier limits.,Fallin STW ,Poor,56.1088461,-3.8740487,Sewage (Public),1
Sample failures in 2014,Loch Rannoch Hotel Kinloch Rannoch Perthshire,Poor,56.7021414,-4.2018615,Sewage (Private),1
"The site has had a number of lower tier failures for Ammonia and BOD in the last year which has led to it's poor status and resulted in it being placed on formal sampling.The site is also in need of some general upgrade and maintenance and works began in November 2014 to replace a biofilter tower which is scheduled to last around 6 months. It is hoped that this and other recommended works will lead to an improvement in the site's overall compliance. 


",Pencaitland Maltings Pencaitland East Lothian,Poor,55.908321,-2.9036864,Other Effluent,1
One gross failure of final effluent at end of year due to sludge bulking in final effluent tank caused by choked return activated sludge pumps. Situation was quickly resolved by Scottish Water the same day.,"Scottish Water, Blairgowrie STW",Poor,56.5857878,-3.3143351,Sewage (Public),1
"Two suspended solids failures from samples taken in June and September.
Failures were blamed on problems with microstrainer which was leaking at the seals. No further samples taken since then as plant has been shut down.",Blair Atholl Distillery Pitlochry Perthshire,Poor,56.6985852,-3.7232193,Other Effluent,1
Two minor suspended solids exceedences in February and April. Improvements made to septic tank outlet and sample chamber. Samples taken in July and October both passed.,Ballathie House Hotel STW Kinclaven Stanley,Poor,56.5148727,-3.3891191,Sewage (Private),1
Multiple sample failures in 2014,Rossie School Montrose Angus,Poor,56.6718369,-2.5492936,Sewage (Private),1
Site assessed as poor due to BOD exceedance.,Doune STW,Poor,56.1829657,-4.0492796,Sewage (Public),1
Multiple sample failures in 2014,Fenton Barns STW North Berwick East Lothian,Poor,56.016363,-2.7865865,Sewage (Private),1
Existing septic tank system and outfall still in operation during 2014 reflecting exceedances in licence conditions and localised impact in the watercourse.  Improvements are ongoing and a new packaged treatment plant and outfall installed however connection from the hotel to the new system still to take place.,The Lodge Carfraemill Oxton,Poor,55.7715561,-2.7852186,Sewage (Private),1
"There was an upper tier breach for BOD and lower tier breach for ammonia in a sample taken on 24 April 2014. This was most likely associated with the discharge of a waste chemical to the WWTW.  Investigations and further sampling demostrated no non-compliance issues.
",Glenlomond Village STW Wester Balgedie,Poor,56.2318116,-3.3419697,Sewage (Private),1
Sample results exceeded  limits allowed,Ritchie Camp Equestrian Centre Kirknewton,Poor,55.8751808,-3.4160863,Sewage (Public),1
Signficant work has been undertaken on site to address management issues with the control and operation of the sediment management system which appears to have improved the quality of the discharge. ,"Orrock Quarry, Burntisland, Kirkcaldy",Poor,56.0841241,-3.2610342,Other Effluent,1
